Region,Agriculture,Industry,Service,Continent
ASIA (EX. NEAR EAST),0.17764285714285713,0.30214285714285716,0.5201071428571429, ASIA
BALTICS,0.045000000000000005,0.2933333333333333,0.6616666666666666, EUROPE
C.W. OF IND. STATES,0.19200000000000003,0.328,0.48016666666666663, OTHER
EASTERN EUROPE,0.09216666666666667,0.30925,0.5986666666666666, EUROPE
LATIN AMER. & CARIB,0.09102325581395349,0.2561162790697674,0.6217999999999998, AMERICA
NEAR EAST,0.0638125,0.4060000000000001,0.5300000000000001, ASIA
NORTHERN AFRICA,0.135,0.42619999999999997,0.432, AFRICA
NORTHERN AMERICA,0.014,0.19933333333333333,0.47220000000000006, AMERICA
OCEANIA,0.17512499999999998,0.21525,0.4639523809523808, OTHER
SUB-SAHARAN AFRICA,0.2835510204081633,0.2668775510204082,0.4321176470588236, AFRICA
WESTERN EUROPE,0.04447999999999999,0.24608333333333332,0.6125357142857143, EUROPE
